STATE,CONSTITUENCY,NAME,SEX,PARTY,AGE,QUALIFICATION
,KWARA SOUTH,RAFIU ADEDAYO IBRAHIM,M,APC,48,PHD
LAGOS,LAGOS CENTRAL,OLUREMI SHADE TINUBU,F,APC,54,BSC
,LAGOS EAST,BAREEHU OLUGBENGA ASHAFA,M,APC,59,MPA
,LAGOS WEST,ADEOLA SOLOMON OLAMILEKAN,M,APC,45,HND
NASARAWA,NASARAWA NORTH,PHILIP ARUWA I. GYUNKA,M,PDP,51,B.SC
,NASARAWA WEST,ABDULLAHI ADAMU,M,APC,68,"LLB, BL"
,NASARAWA SOUTH,SALIHU HUSSAIN EGYE,M,APC,55,MSC ARC.
NIGER,NIGER SOUTH,MOHAMMED A. GARBA,M,APC,40,BSC
,NIGER NORTH,ALIYU SABI ABDULLAHI,M,APC,47,MSC
,NIGER EAST,DAVID UMARU,M,APC,55,"LLB, BL"
OGUN,OGUN CENTRAL,OLANREWAJU ADEYEMI TEJUOSO,M,APC,50,MBBS
,OGUN EAST,BURUJI KASHAMU,M,PDP,56,DIPLOMA
,OGUN WEST,JOSEPH GBOLAHAN DADA,M,APC,64,DIPLOMA
ONDO,ONDO NORTH,ROBERT AJAYI BOROFFICE,M,APC,65,PHD
,ONDO CENTRAL,DONALD O. ALASOADURA,M,APC,65,ACCA
,ONDO SOUTH,YELE OMOGUNWA,M,PDP,64,"B.A., WASC"
OSUN,OSUN CENTRAL,OLUSOLA ADEYEYE,M,APC,63,PHD
,OSUN EAST,BABAJIDE CHRISTOPHER OMOWORARE,M,APC,46,"LLB, BL"
,OSUN WEST,ISIAKA ADETUNJI ADELEKE,M,APC,59,BA
OYO,OYO CENTRAL,MONSURAT J. A. SUNMONU,M,APC,55,"WAEC, ICSA"
,OYO NORTH,BUHARI ABDULFATAI,M,APC,50,PHD
,OYO SOUTH,RILWAN ADESOJI AKANBI,M,APC,52,ND
PLATEAU,PLATEAU SOUTH,JEREMIAH TIMBUT USENI,M,PDP,71,"LLD, FCIT"
,PLATEAU CENTRAL,JOSHUA DARIYE CHIBI,M,PDP,57,"HND, MBA,"
